NUMBER=WORD=PRONUNCIATION=PART_OF_SPEECH=MEANING=STAR=DATE=MEMO
1=a==determiner A1==☆☆☆☆☆==
2=abandon==verb B2==☆☆☆☆☆==
3=ability==noun A2==☆☆☆☆☆==
4=able==adjective A2==☆☆☆☆☆==
5=about==preposition A1==☆☆☆☆☆==
6=about==adverb A1==☆☆☆☆☆==
7=above==preposition A1==☆☆☆☆☆==
8=above==adverb A1==☆☆☆☆☆==
9=abroad==adverb A2==☆☆☆☆☆==
10=absolute==adjective B2==☆☆☆☆☆==
11=absolutely==adverb B1==☆☆☆☆☆==
12=academic==adjective B1==☆☆☆☆☆==
13=academic==noun B2==☆☆☆☆☆==
14=accept==verb A2==☆☆☆☆☆==
15=acceptable==adjective B2==☆☆☆☆☆==
16=access==noun B1==☆☆☆☆☆==
17=access==verb B1==☆☆☆☆☆==
18=accident==noun A2==☆☆☆☆☆==
19=accommodation==noun B1==☆☆☆☆☆==
20=accompany==verb B2==☆☆☆☆☆==
21=according to==preposition A2==☆☆☆☆☆==
22=account==noun B1==☆☆☆☆☆==
23=account==verb B2==☆☆☆☆☆==
24=accurate==adjective B2==☆☆☆☆☆==
25=accuse==verb B2==☆☆☆☆☆==
26=achieve==verb A2==☆☆☆☆☆==
27=achievement==noun B1==☆☆☆☆☆==
28=acknowledge==verb B2==☆☆☆☆☆==
29=acquire==verb B2==☆☆☆☆☆==
30=across==preposition A1==☆☆☆☆☆==
31=across==adverb A1==☆☆☆☆☆==
32=act==noun B1==☆☆☆☆☆==
33=act==verb A2==☆☆☆☆☆==
34=action==noun A1==☆☆☆☆☆==
35=active==adjective A2==☆☆☆☆☆==
36=activity==noun A1==☆☆☆☆☆==
37=actor==noun A1==☆☆☆☆☆==
38=actress==noun A1==☆☆☆☆☆==
39=actual==adjective B2==☆☆☆☆☆==
40=actually==adverb A2==☆☆☆☆☆==
41=ad==noun B1==☆☆☆☆☆==
42=adapt==verb B2==☆☆☆☆☆==
43=add==verb A1==☆☆☆☆☆==
44=addition==noun B1==☆☆☆☆☆==
45=additional==adjective B2==☆☆☆☆☆==
46=address==noun A1==☆☆☆☆☆==
47=address==verb B2==☆☆☆☆☆==
48=administration==noun B2==☆☆☆☆☆==
49=admire==verb B1==☆☆☆☆☆==
50=admit==verb B1==☆☆☆☆☆==
51=adopt==verb B2==☆☆☆☆☆==
52=adult==adjective A2==☆☆☆☆☆==
53=adult==noun A1==☆☆☆☆☆==
54=advance==adjective B2==☆☆☆☆☆==
55=advance==noun B2==☆☆☆☆☆==
56=advance==verb B2==☆☆☆☆☆==
57=advanced==adjective B1==☆☆☆☆☆==
58=advantage==noun A2==☆☆☆☆☆==
59=adventure==noun A2==☆☆☆☆☆==
60=advertise==verb A2==☆☆☆☆☆==
61=advertisement==noun A2==☆☆☆☆☆==
62=advertising==noun A2==☆☆☆☆☆==
63=advice==noun A1==☆☆☆☆☆==
64=advise==verb B1==☆☆☆☆☆==
65=affair==noun B2==☆☆☆☆☆==
66=affect==verb A2==☆☆☆☆☆==
67=afford==verb B1==☆☆☆☆☆==
68=afraid==adjective A1==☆☆☆☆☆==
69=after==conjunction A2==☆☆☆☆☆==
70=after==preposition A1==☆☆☆☆☆==
71=after==adverb A2==☆☆☆☆☆==
72=afternoon==noun A1==☆☆☆☆☆==
73=afterwards==adverb B2==☆☆☆☆☆==
74=again==adverb A1==☆☆☆☆☆==
75=against==preposition A2==☆☆☆☆☆==
76=age==noun A1==☆☆☆☆☆==
77=age==verb B1==☆☆☆☆☆==
78=aged==adjective B1==☆☆☆☆☆==
79=agency==noun B2==☆☆☆☆☆==
80=agenda==noun B2==☆☆☆☆☆==
81=agent==noun B1==☆☆☆☆☆==
82=aggressive==adjective B2==☆☆☆☆☆==
83=ago==adverb A1==☆☆☆☆☆==
84=agree==verb A1==☆☆☆☆☆==
85=agreement==noun B1==☆☆☆☆☆==
86=ah==exclamation A2==☆☆☆☆☆==
87=ahead==adverb B1==☆☆☆☆☆==
88=aid==noun B2==☆☆☆☆☆==
89=aid==verb B2==☆☆☆☆☆==
90=aim==noun B1==☆☆☆☆☆==
91=aim==verb B1==☆☆☆☆☆==
92=air==noun A1==☆☆☆☆☆==
93=aircraft==noun B2==☆☆☆☆☆==
94=airline==noun A2==☆☆☆☆☆==
95=airport==noun A1==☆☆☆☆☆==
96=alarm==noun B1==☆☆☆☆☆==
97=alarm==verb B2==☆☆☆☆☆==
98=album==noun B1==☆☆☆☆☆==
99=alcohol==noun B1==☆☆☆☆☆==
100=alcoholic==adjective B1==☆☆☆☆☆==
101=alive==adjective A2==☆☆☆☆☆==
102=all==determiner A1==☆☆☆☆☆==
103=all==pronoun A1==☆☆☆☆☆==
104=all==adverb A2==☆☆☆☆☆==
105=all right==adjective A2==☆☆☆☆☆==
106=all right==adverb A2==☆☆☆☆☆==
107=all right==exclamation A2==☆☆☆☆☆==
108=allow==verb A2==☆☆☆☆☆==
109=almost==adverb A2==☆☆☆☆☆==
110=alone==adjective A2==☆☆☆☆☆==
111=alone==adverb A2==☆☆☆☆☆==
112=along==preposition A2==☆☆☆☆☆==
113=along==adverb A2==☆☆☆☆☆==
114=already==adverb A2==☆☆☆☆☆==
115=also==adverb A1==☆☆☆☆☆==
116=alter==verb B2==☆☆☆☆☆==
117=alternative==adjective B1==☆☆☆☆☆==
118=alternative==noun A2==☆☆☆☆☆==
119=although==conjunction A2==☆☆☆☆☆==
120=always==adverb A1==☆☆☆☆☆==
121=amazed==adjective B1==☆☆☆☆☆==
122=amazing==adjective A1==☆☆☆☆☆==
123=ambition==noun B1==☆☆☆☆☆==
124=ambitious==adjective B1==☆☆☆☆☆==
125=among==preposition A2==☆☆☆☆☆==
126=amount==noun A2==☆☆☆☆☆==
127=amount==verb B2==☆☆☆☆☆==
128=analyse==verb B1==☆☆☆☆☆==
129=analysis==noun B1==☆☆☆☆☆==
130=ancient==adjective A2==☆☆☆☆☆==
131=and==conjunction A1==☆☆☆☆☆==
132=anger==noun B2==☆☆☆☆☆==
133=angle==noun B2==☆☆☆☆☆==
134=angrily==adverb A2==☆☆☆☆☆==
135=angry==adjective A1==☆☆☆☆☆==
136=animal==noun A1==☆☆☆☆☆==
137=ankle==noun A2==☆☆☆☆☆==
138=anniversary==noun B2==☆☆☆☆☆==
139=announce==verb B1==☆☆☆☆☆==
140=announcement==noun B1==☆☆☆☆☆==
141=annoy==verb B1==☆☆☆☆☆==
142=annoyed==adjective B1==☆☆☆☆☆==
143=annoying==adjective B1==☆☆☆☆☆==
144=annual==adjective B2==☆☆☆☆☆==
145=another==determiner A1==☆☆☆☆☆==
146=another==pronoun A1==☆☆☆☆☆==
147=answer==noun A1==☆☆☆☆☆==
148=answer==verb A1==☆☆☆☆☆==
149=anxious==adjective B2==☆☆☆☆☆==
150=any==determiner A1==☆☆☆☆☆==
151=any==pronoun A1==☆☆☆☆☆==
