NUMBER=WORD=PRONUNCIATION=PART_OF_SPEECH=MEANING=STAR=DATE=MEMO
1=a==determiner A1==☆☆☆☆☆==
2=abandon==verb B2==☆☆☆☆☆==
3=ability==noun A2==☆☆☆☆☆==
4=able==adjective A2==☆☆☆☆☆==
5=abolish==verb C1==☆☆☆☆☆==
6=abortion==noun C1==☆☆☆☆☆==
7=about==preposition A1==☆☆☆☆☆==
8=about==adverb A1==☆☆☆☆☆==
9=above==preposition A1==☆☆☆☆☆==
10=above==adverb A1==☆☆☆☆☆==
11=abroad==adverb A2==☆☆☆☆☆==
12=absence==noun C1==☆☆☆☆☆==
13=absent==adjective C1==☆☆☆☆☆==
14=absolute==adjective B2==☆☆☆☆☆==
15=absolutely==adverb B1==☆☆☆☆☆==
16=absorb==verb B2==☆☆☆☆☆==
17=abstract==adjective B2==☆☆☆☆☆==
18=absurd==adjective C1==☆☆☆☆☆==
19=abundance==noun C1==☆☆☆☆☆==
20=abuse==noun C1==☆☆☆☆☆==
21=abuse==verb C1==☆☆☆☆☆==
22=academic==adjective B1==☆☆☆☆☆==
23=academic==noun B2==☆☆☆☆☆==
24=academy==noun C1==☆☆☆☆☆==
25=accelerate==verb C1==☆☆☆☆☆==
26=accent==noun B2==☆☆☆☆☆==
27=accept==verb A2==☆☆☆☆☆==
28=acceptable==adjective B2==☆☆☆☆☆==
29=acceptance==noun C1==☆☆☆☆☆==
30=access==noun B1==☆☆☆☆☆==
31=access==verb B1==☆☆☆☆☆==
32=accessible==adjective C1==☆☆☆☆☆==
33=accident==noun A2==☆☆☆☆☆==
34=accidentally==adverb B2==☆☆☆☆☆==
35=accommodate==verb B2==☆☆☆☆☆==
36=accommodation==noun B1==☆☆☆☆☆==
37=accompany==verb B2==☆☆☆☆☆==
38=accomplish==verb B2==☆☆☆☆☆==
39=accomplishment==noun C1==☆☆☆☆☆==
40=accordance==noun C1==☆☆☆☆☆==
41=according to==preposition A2==☆☆☆☆☆==
42=accordingly==adverb C1==☆☆☆☆☆==
43=account==noun B1==☆☆☆☆☆==
44=account==verb B2==☆☆☆☆☆==
45=accountability==noun C1==☆☆☆☆☆==
46=accountable==adjective C1==☆☆☆☆☆==
47=accountant==noun B2==☆☆☆☆☆==
48=accounting==noun B2==☆☆☆☆☆==
49=accumulate==verb C1==☆☆☆☆☆==
50=accumulation==noun C1==☆☆☆☆☆==
51=accuracy==noun B2==☆☆☆☆☆==
52=accurate==adjective B2==☆☆☆☆☆==
53=accurately==adverb B2==☆☆☆☆☆==
54=accusation==noun C1==☆☆☆☆☆==
55=accuse==verb B2==☆☆☆☆☆==
56=accused==noun C1==☆☆☆☆☆==
57=achieve==verb A2==☆☆☆☆☆==
58=achievement==noun B1==☆☆☆☆☆==
59=acid==adjective C1==☆☆☆☆☆==
60=acid==noun B2==☆☆☆☆☆==
61=acknowledge==verb B2==☆☆☆☆☆==
62=acquire==verb B2==☆☆☆☆☆==
63=acquisition==noun C1==☆☆☆☆☆==
64=acre==noun C1==☆☆☆☆☆==
65=across==preposition A1==☆☆☆☆☆==
66=across==adverb A1==☆☆☆☆☆==
67=act==noun B1==☆☆☆☆☆==
68=act==verb A2==☆☆☆☆☆==
69=action==noun A1==☆☆☆☆☆==
70=activate==verb B2==☆☆☆☆☆==
71=activation==noun C1==☆☆☆☆☆==
72=active==adjective A2==☆☆☆☆☆==
73=activist==noun C1==☆☆☆☆☆==
74=activity==noun A1==☆☆☆☆☆==
75=actor==noun A1==☆☆☆☆☆==
76=actress==noun A1==☆☆☆☆☆==
77=actual==adjective B2==☆☆☆☆☆==
78=actually==adverb A2==☆☆☆☆☆==
79=acute==adjective C1==☆☆☆☆☆==
80=ad==noun B1==☆☆☆☆☆==
81=adapt==verb B2==☆☆☆☆☆==
82=adaptation==noun C1==☆☆☆☆☆==
83=add==verb A1==☆☆☆☆☆==
84=addiction==noun B2==☆☆☆☆☆==
85=addition==noun B1==☆☆☆☆☆==
86=additional==adjective B2==☆☆☆☆☆==
87=additionally==adverb B2==☆☆☆☆☆==
88=address==noun A1==☆☆☆☆☆==
89=address==verb B2==☆☆☆☆☆==
90=adequate==adjective B2==☆☆☆☆☆==
91=adequately==adverb B2==☆☆☆☆☆==
92=adhere==verb C1==☆☆☆☆☆==
93=adjacent==adjective C1==☆☆☆☆☆==
94=adjust==verb B2==☆☆☆☆☆==
95=adjustment==noun C1==☆☆☆☆☆==
96=administer==verb C1==☆☆☆☆☆==
97=administration==noun B2==☆☆☆☆☆==
98=administrative==adjective C1==☆☆☆☆☆==
99=administrator==noun C1==☆☆☆☆☆==
100=admire==verb B1==☆☆☆☆☆==
101=admission==noun C1==☆☆☆☆☆==
102=admit==verb B1==☆☆☆☆☆==
103=adolescent==noun C1==☆☆☆☆☆==
104=adopt==verb B2==☆☆☆☆☆==
105=adoption==noun C1==☆☆☆☆☆==
106=adult==adjective A2==☆☆☆☆☆==
107=adult==noun A1==☆☆☆☆☆==
108=advance==adjective B2==☆☆☆☆☆==
109=advance==noun B2==☆☆☆☆☆==
110=advance==verb B2==☆☆☆☆☆==
111=advanced==adjective B1==☆☆☆☆☆==
112=advantage==noun A2==☆☆☆☆☆==
113=adventure==noun A2==☆☆☆☆☆==
114=adverse==adjective C1==☆☆☆☆☆==
115=advertise==verb A2==☆☆☆☆☆==
116=advertisement==noun A2==☆☆☆☆☆==
117=advertising==noun A2==☆☆☆☆☆==
118=advice==noun A1==☆☆☆☆☆==
119=advise==verb B1==☆☆☆☆☆==
120=advocate==noun C1==☆☆☆☆☆==
121=advocate==verb C1==☆☆☆☆☆==
122=aesthetic==adjective C1==☆☆☆☆☆==
123=affair==noun B2==☆☆☆☆☆==
124=affect==verb A2==☆☆☆☆☆==
125=affection==noun C1==☆☆☆☆☆==
126=afford==verb B1==☆☆☆☆☆==
127=affordable==adjective B2==☆☆☆☆☆==
128=afraid==adjective A1==☆☆☆☆☆==
129=after==conjunction A2==☆☆☆☆☆==
130=after==preposition A1==☆☆☆☆☆==
131=after==adverb A2==☆☆☆☆☆==
132=aftermath==noun C1==☆☆☆☆☆==
133=afternoon==noun A1==☆☆☆☆☆==
134=afterwards==adverb B2==☆☆☆☆☆==
135=again==adverb A1==☆☆☆☆☆==
136=against==preposition A2==☆☆☆☆☆==
137=age==noun A1==☆☆☆☆☆==
138=age==verb B1==☆☆☆☆☆==
139=aged==adjective B1==☆☆☆☆☆==
140=agency==noun B2==☆☆☆☆☆==
141=agenda==noun B2==☆☆☆☆☆==
142=agent==noun B1==☆☆☆☆☆==
143=aggression==noun C1==☆☆☆☆☆==
144=aggressive==adjective B2==☆☆☆☆☆==
145=ago==adverb A1==☆☆☆☆☆==
146=agree==verb A1==☆☆☆☆☆==
147=agreement==noun B1==☆☆☆☆☆==
148=agricultural==adjective C1==☆☆☆☆☆==
149=agriculture==noun B2==☆☆☆☆☆==
